ENSRNOG00000007290	ENSRNOG00000005434
ENSRNOG00000007290	ENSRNOG00000007104
ENSRNOG00000007316	ENSRNOG00000000805
ENSRNOG00000007330	ENSRNOG00000001142
ENSRNOG00000007346	ENSRNOG00000003680
ENSRNOG00000007346	ENSRNOG00000005519
ENSRNOG00000007364	ENSRNOG00000004424
ENSRNOG00000007393	ENSRNOG00000001849
ENSRNOG00000007410	ENSRNOG00000007330
ENSRNOG00000007445	ENSRNOG00000001129
ENSRNOG00000007456	ENSRNOG00000005133
ENSRNOG00000007492	ENSRNOG00000001142
ENSRNOG00000007492	ENSRNOG00000004477
ENSRNOG00000007518	ENSRNOG00000005133
ENSRNOG00000007519	ENSRNOG00000000805
ENSRNOG00000007583	ENSRNOG00000000805
ENSRNOG00000007583	ENSRNOG00000004060
ENSRNOG00000007583	ENSRNOG00000005133
ENSRNOG00000007663	ENSRNOG00000001849
ENSRNOG00000007665	ENSRNOG00000001142
ENSRNOG00000007668	ENSRNOG00000000513
ENSRNOG00000007706	ENSRNOG00000001309
ENSRNOG00000007769	ENSRNOG00000003071
ENSRNOG00000007769	ENSRNOG00000003402
ENSRNOG00000007769	ENSRNOG00000003849
ENSRNOG00000007769	ENSRNOG00000004527
ENSRNOG00000007781	ENSRNOG00000000805
ENSRNOG00000007834	ENSRNOG00000000805
ENSRNOG00000007834	ENSRNOG00000001489
ENSRNOG00000007834	ENSRNOG00000005133
ENSRNOG00000007894	ENSRNOG00000007332
ENSRNOG00000007895	ENSRNOG00000000805
ENSRNOG00000007895	ENSRNOG00000005133
ENSRNOG00000007916	ENSRNOG00000004332
ENSRNOG00000007921	ENSRNOG00000001849
ENSRNOG00000007946	ENSRNOG00000001813
ENSRNOG00000007946	ENSRNOG00000006304
ENSRNOG00000007957	ENSRNOG00000004201
ENSRNOG00000007998	ENSRNOG00000004060
ENSRNOG00000008017	ENSRNOG00000002051
ENSRNOG00000008061	ENSRNOG00000003261
ENSRNOG00000008103	ENSRNOG00000000805
ENSRNOG00000008103	ENSRNOG00000001142
ENSRNOG00000008140	ENSRNOG00000001849
ENSRNOG00000008157	ENSRNOG00000004060
ENSRNOG00000008157	ENSRNOG00000005133
ENSRNOG00000008180	ENSRNOG00000002244
ENSRNOG00000008180	ENSRNOG00000004912
ENSRNOG00000008195	ENSRNOG00000000805
ENSRNOG00000008195	ENSRNOG00000005133
ENSRNOG00000008223	ENSRNOG00000001302
ENSRNOG00000008236	ENSRNOG00000000805
ENSRNOG00000008258	ENSRNOG00000006975
ENSRNOG00000008292	ENSRNOG00000005257
ENSRNOG00000008292	ENSRNOG00000005936
ENSRNOG00000008292	ENSRNOG00000006304
ENSRNOG00000008373	ENSRNOG00000000805
ENSRNOG00000008373	ENSRNOG00000001849
ENSRNOG00000008400	ENSRNOG00000006695
ENSRNOG00000008414	ENSRNOG00000000805
ENSRNOG00000008427	ENSRNOG00000002051
ENSRNOG00000008428	ENSRNOG00000001302
ENSRNOG00000008428	ENSRNOG00000002793
ENSRNOG00000008428	ENSRNOG00000003905
ENSRNOG00000008428	ENSRNOG00000004060
ENSRNOG00000008431	ENSRNOG00000000774
ENSRNOG00000008444	ENSRNOG00000000940
ENSRNOG00000008444	ENSRNOG00000003990
ENSRNOG00000008444	ENSRNOG00000004332
ENSRNOG00000008444	ENSRNOG00000008180
ENSRNOG00000008445	ENSRNOG00000001708
ENSRNOG00000008445	ENSRNOG00000003491
ENSRNOG00000008445	ENSRNOG00000004889
ENSRNOG00000008445	ENSRNOG00000005257
ENSRNOG00000008479	ENSRNOG00000000130
ENSRNOG00000008479	ENSRNOG00000000805
ENSRNOG00000008479	ENSRNOG00000001285
ENSRNOG00000008479	ENSRNOG00000001662
ENSRNOG00000008479	ENSRNOG00000001709
ENSRNOG00000008479	ENSRNOG00000003855
ENSRNOG00000008479	ENSRNOG00000004813
ENSRNOG00000008479	ENSRNOG00000004821
ENSRNOG00000008479	ENSRNOG00000005434
ENSRNOG00000008479	ENSRNOG00000006652
ENSRNOG00000008479	ENSRNOG00000007104
ENSRNOG00000008479	ENSRNOG00000007290
ENSRNOG00000008479	ENSRNOG00000007998
ENSRNOG00000008479	ENSRNOG00000008157
ENSRNOG00000008555	ENSRNOG00000001142
ENSRNOG00000008555	ENSRNOG00000001849
ENSRNOG00000008570	ENSRNOG00000001849
ENSRNOG00000008639	ENSRNOG00000005133
ENSRNOG00000008639	ENSRNOG00000006990
ENSRNOG00000008639	ENSRNOG00000008479
ENSRNOG00000008656	ENSRNOG00000000248
ENSRNOG00000008656	ENSRNOG00000000471
ENSRNOG00000008656	ENSRNOG00000000957
ENSRNOG00000008656	ENSRNOG00000000990
ENSRNOG00000008656	ENSRNOG00000002563
