ENSRNOP00000023037	ENSRNOP00000001518
ENSRNOP00000023037	ENSRNOP00000001738
ENSRNOP00000023037	ENSRNOP00000001779
ENSRNOP00000023037	ENSRNOP00000002091
ENSRNOP00000023037	ENSRNOP00000002116
ENSRNOP00000023037	ENSRNOP00000002338
ENSRNOP00000023037	ENSRNOP00000002358
ENSRNOP00000023037	ENSRNOP00000002366
ENSRNOP00000023037	ENSRNOP00000002732
ENSRNOP00000023037	ENSRNOP00000002812
ENSRNOP00000023037	ENSRNOP00000003106
ENSRNOP00000023037	ENSRNOP00000003158
ENSRNOP00000023037	ENSRNOP00000003283
ENSRNOP00000023037	ENSRNOP00000003349
ENSRNOP00000023037	ENSRNOP00000003932
ENSRNOP00000023037	ENSRNOP00000003965
ENSRNOP00000023037	ENSRNOP00000004078
ENSRNOP00000023037	ENSRNOP00000004278
ENSRNOP00000023037	ENSRNOP00000004391
ENSRNOP00000023037	ENSRNOP00000004520
ENSRNOP00000023037	ENSRNOP00000004609
ENSRNOP00000023037	ENSRNOP00000004797
ENSRNOP00000023037	ENSRNOP00000004836
ENSRNOP00000023037	ENSRNOP00000004956
ENSRNOP00000023037	ENSRNOP00000005143
ENSRNOP00000023037	ENSRNOP00000005370
ENSRNOP00000023037	ENSRNOP00000005881
ENSRNOP00000023037	ENSRNOP00000006184
ENSRNOP00000023037	ENSRNOP00000006637
ENSRNOP00000023037	ENSRNOP00000007558
ENSRNOP00000023037	ENSRNOP00000007608
ENSRNOP00000023037	ENSRNOP00000007609
ENSRNOP00000023037	ENSRNOP00000008126
ENSRNOP00000023037	ENSRNOP00000008342
ENSRNOP00000023037	ENSRNOP00000008522
ENSRNOP00000023037	ENSRNOP00000008734
ENSRNOP00000023037	ENSRNOP00000008736
ENSRNOP00000023037	ENSRNOP00000008999
ENSRNOP00000023037	ENSRNOP00000009931
ENSRNOP00000023037	ENSRNOP00000010158
ENSRNOP00000023037	ENSRNOP00000010545
ENSRNOP00000023037	ENSRNOP00000010593
ENSRNOP00000023037	ENSRNOP00000011052
ENSRNOP00000023037	ENSRNOP00000011314
ENSRNOP00000023037	ENSRNOP00000011756
ENSRNOP00000023037	ENSRNOP00000012092
ENSRNOP00000023037	ENSRNOP00000012153
ENSRNOP00000023037	ENSRNOP00000012545
ENSRNOP00000023037	ENSRNOP00000013151
ENSRNOP00000023037	ENSRNOP00000013272
ENSRNOP00000023037	ENSRNOP00000013608
ENSRNOP00000023037	ENSRNOP00000013900
ENSRNOP00000023037	ENSRNOP00000014250
ENSRNOP00000023037	ENSRNOP00000014359
ENSRNOP00000023037	ENSRNOP00000014383
ENSRNOP00000023037	ENSRNOP00000014407
ENSRNOP00000023037	ENSRNOP00000014658
ENSRNOP00000023037	ENSRNOP00000014704
ENSRNOP00000023037	ENSRNOP00000015076
ENSRNOP00000023037	ENSRNOP00000015102
ENSRNOP00000023037	ENSRNOP00000015127
ENSRNOP00000023037	ENSRNOP00000015609
ENSRNOP00000023037	ENSRNOP00000015632
ENSRNOP00000023037	ENSRNOP00000015913
ENSRNOP00000023037	ENSRNOP00000015931
ENSRNOP00000023037	ENSRNOP00000015956
ENSRNOP00000023037	ENSRNOP00000016070
ENSRNOP00000023037	ENSRNOP00000016229
ENSRNOP00000023037	ENSRNOP00000016965
ENSRNOP00000023037	ENSRNOP00000017060
ENSRNOP00000023037	ENSRNOP00000017065
ENSRNOP00000023037	ENSRNOP00000017385
ENSRNOP00000023037	ENSRNOP00000018167
ENSRNOP00000023037	ENSRNOP00000018227
ENSRNOP00000023037	ENSRNOP00000018340
ENSRNOP00000023037	ENSRNOP00000018462
ENSRNOP00000023037	ENSRNOP00000018599
ENSRNOP00000023037	ENSRNOP00000018637
ENSRNOP00000023037	ENSRNOP00000018973
ENSRNOP00000023037	ENSRNOP00000019174
ENSRNOP00000023037	ENSRNOP00000019214
ENSRNOP00000023037	ENSRNOP00000019320
ENSRNOP00000023037	ENSRNOP00000019393
ENSRNOP00000023037	ENSRNOP00000020635
ENSRNOP00000023037	ENSRNOP00000020670
ENSRNOP00000023037	ENSRNOP00000020720
ENSRNOP00000023037	ENSRNOP00000021073
ENSRNOP00000023037	ENSRNOP00000021176
ENSRNOP00000023037	ENSRNOP00000021310
ENSRNOP00000023037	ENSRNOP00000021400
ENSRNOP00000023037	ENSRNOP00000021480
ENSRNOP00000023037	ENSRNOP00000021817
ENSRNOP00000023037	ENSRNOP00000022383
ENSRNOP00000023037	ENSRNOP00000022487
ENSRNOP00000023037	ENSRNOP00000022895
ENSRNOP00000023054	ENSRNOP00000016442
ENSRNOP00000023054	ENSRNOP00000020014
ENSRNOP00000023132	ENSRNOP00000001054
ENSRNOP00000023132	ENSRNOP00000023037
ENSRNOP00000023214	ENSRNOP00000018025
ENSRNOP00000023392	ENSRNOP00000018025
ENSRNOP00000023428	ENSRNOP00000018025
ENSRNOP00000023436	ENSRNOP00000012739
ENSRNOP00000023452	ENSRNOP00000013900
ENSRNOP00000023452	ENSRNOP00000023037
ENSRNOP00000023611	ENSRNOP00000001508
ENSRNOP00000023611	ENSRNOP00000018025
ENSRNOP00000023611	ENSRNOP00000023037
ENSRNOP00000023657	ENSRNOP00000001054
ENSRNOP00000023810	ENSRNOP00000007676
ENSRNOP00000023860	ENSRNOP00000001054
ENSRNOP00000023860	ENSRNOP00000014939
ENSRNOP00000023860	ENSRNOP00000023037
ENSRNOP00000023935	ENSRNOP00000001054
ENSRNOP00000023935	ENSRNOP00000001508
ENSRNOP00000023935	ENSRNOP00000023037
ENSRNOP00000023962	ENSRNOP00000008253
ENSRNOP00000023962	ENSRNOP00000020405
ENSRNOP00000023963	ENSRNOP00000003455
ENSRNOP00000024012	ENSRNOP00000001054
ENSRNOP00000024057	ENSRNOP00000009047
ENSRNOP00000024084	ENSRNOP00000001054
ENSRNOP00000024186	ENSRNOP00000001054
ENSRNOP00000024348	ENSRNOP00000011466
ENSRNOP00000024430	ENSRNOP00000001054
ENSRNOP00000024430	ENSRNOP00000023037
ENSRNOP00000024456	ENSRNOP00000018025
ENSRNOP00000024609	ENSRNOP00000023037
ENSRNOP00000024657	ENSRNOP00000023037
ENSRNOP00000024679	ENSRNOP00000018025
ENSRNOP00000024707	ENSRNOP00000023037
ENSRNOP00000024895	ENSRNOP00000018025
ENSRNOP00000024924	ENSRNOP00000018025
ENSRNOP00000024952	ENSRNOP00000023037
ENSRNOP00000024973	ENSRNOP00000001054
ENSRNOP00000024992	ENSRNOP00000001054
ENSRNOP00000025064	ENSRNOP00000001054
ENSRNOP00000025064	ENSRNOP00000008728
ENSRNOP00000025064	ENSRNOP00000023037
ENSRNOP00000025179	ENSRNOP00000018025
ENSRNOP00000025196	ENSRNOP00000023037
ENSRNOP00000025224	ENSRNOP00000001054
ENSRNOP00000025224	ENSRNOP00000023037
ENSRNOP00000025421	ENSRNOP00000001508
ENSRNOP00000025446	ENSRNOP00000001054
ENSRNOP00000025462	ENSRNOP00000001054
ENSRNOP00000025496	ENSRNOP00000023037
ENSRNOP00000025525	ENSRNOP00000023037
ENSRNOP00000025624	ENSRNOP00000023037
ENSRNOP00000025649	ENSRNOP00000023037
ENSRNOP00000025675	ENSRNOP00000018025
ENSRNOP00000025769	ENSRNOP00000007607
ENSRNOP00000025779	ENSRNOP00000018025
ENSRNOP00000025794	ENSRNOP00000001054
ENSRNOP00000025819	ENSRNOP00000000477
ENSRNOP00000025888	ENSRNOP00000001054
ENSRNOP00000025901	ENSRNOP00000019283
ENSRNOP00000025915	ENSRNOP00000001054
ENSRNOP00000025915	ENSRNOP00000023037
ENSRNOP00000026021	ENSRNOP00000001508
ENSRNOP00000026063	ENSRNOP00000008734
ENSRNOP00000026063	ENSRNOP00000023037
ENSRNOP00000026122	ENSRNOP00000018025
ENSRNOP00000026153	ENSRNOP00000023037
ENSRNOP00000026210	ENSRNOP00000019579
ENSRNOP00000026327	ENSRNOP00000021715
ENSRNOP00000026392	ENSRNOP00000001508
ENSRNOP00000026392	ENSRNOP00000006393
ENSRNOP00000026392	ENSRNOP00000023037
ENSRNOP00000026439	ENSRNOP00000011466
ENSRNOP00000026492	ENSRNOP00000018025
ENSRNOP00000026507	ENSRNOP00000000477
ENSRNOP00000026527	ENSRNOP00000013249
ENSRNOP00000026576	ENSRNOP00000001054
ENSRNOP00000026576	ENSRNOP00000001508
ENSRNOP00000026576	ENSRNOP00000023037
ENSRNOP00000026633	ENSRNOP00000023037
ENSRNOP00000026691	ENSRNOP00000007601
ENSRNOP00000026691	ENSRNOP00000021285
ENSRNOP00000026792	ENSRNOP00000001054
ENSRNOP00000026792	ENSRNOP00000001508
ENSRNOP00000026792	ENSRNOP00000023037
ENSRNOP00000026793	ENSRNOP00000023037
ENSRNOP00000026949	ENSRNOP00000023037
ENSRNOP00000027012	ENSRNOP00000014948
ENSRNOP00000027073	ENSRNOP00000001054
ENSRNOP00000027417	ENSRNOP00000023037
ENSRNOP00000027445	ENSRNOP00000023037
ENSRNOP00000027496	ENSRNOP00000023037
ENSRNOP00000027505	ENSRNOP00000023037
ENSRNOP00000027537	ENSRNOP00000001054
ENSRNOP00000027547	ENSRNOP00000021528
ENSRNOP00000027561	ENSRNOP00000018025
