Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	NCBI gene (formerly Entrezgene) ID
YDR016C	YDR016C_mRNA	YDR016C	DAD1	851579
YKL215C	YKL215C_mRNA	YKL215C	OXP1	853665
YML035C	YML035C_mRNA	YML035C	AMD1	854973
YDL059C	YDL059C_mRNA	YDL059C	RAD59	851500
tK(CUU)D2	tK(CUU)D2_tRNA			
YOR257W	YOR257W_mRNA	YOR257W	CDC31	854431
tE(UUC)G2	tE(UUC)G2_tRNA			
YNL144C	YNL144C_mRNA	YNL144C		855578
YIL172C	YIL172C_mRNA	YIL172C	IMA3	853235
YIL172C	YIL172C_mRNA	YIL172C	IMA3	854635
YOR301W	YOR301W_mRNA	YOR301W	RAX1	854477
HRA1	HRA1_ncRNA			
YHR157W	YHR157W_mRNA	YHR157W	REC104	856562
YPR152C	YPR152C_mRNA	YPR152C	URN1	856275
YDR442W	YDR442W_mRNA	YDR442W		
YPL008W	YPL008W_mRNA	YPL008W	CHL1	856099
YMR086C-A	YMR086C-A_mRNA	YMR086C-A		
YGL032C	YGL032C_mRNA	YGL032C	AGA2	852851
YEL077C	YEL077C_mRNA	YEL077C		856630
YGR174W-A	YGR174W-A_mRNA	YGR174W-A		1466461
YOR148C	YOR148C_mRNA	YOR148C	SPP2	854319
YHL048W	YHL048W_mRNA	YHL048W	COS8	856337
YDR114C	YDR114C_mRNA	YDR114C		851693
YDR194W-A	YDR194W-A_mRNA	YDR194W-A		1466435
YML062C	YML062C_mRNA	YML062C	MFT1	854940
YPR085C	YPR085C_mRNA	YPR085C	ASA1	856200
tR(UCU)K	tR(UCU)K_tRNA			
YBL095W	YBL095W_mRNA	YBL095W	MRX3	852181
YAR028W	YAR028W_mRNA	YAR028W		851280
YGR054W	YGR054W_mRNA	YGR054W		852945
YOR096W	YOR096W_mRNA	YOR096W	RPS7A	854263
YMR022W	YMR022W_mRNA	YMR022W	UBC7	855036
YCR027C	YCR027C_mRNA	YCR027C	RHB1	850392
YDL183C	YDL183C_mRNA	YDL183C		851345
YJL225W-A	YJL225W-A_mRNA	YJL225W-A		
YNL278W	YNL278W_mRNA	YNL278W	CAF120	855443
YLR395C	YLR395C_mRNA	YLR395C	COX8	851111
YDR446W	YDR446W_mRNA	YDR446W	ECM11	852057
YKL023W	YKL023W_mRNA	YKL023W		853845
YPL106C	YPL106C_mRNA	YPL106C	SSE1	855998
tI(AAU)L1	tI(AAU)L1_tRNA			
tD(GUC)O	tD(GUC)O_tRNA			
tR(UCU)M2	tR(UCU)M2_tRNA			
YOR366W	YOR366W_mRNA	YOR366W		
YIR021W	YIR021W_mRNA	YIR021W	MRS1	854839
YJL175W	YJL175W_mRNA	YJL175W		
YLL022C	YLL022C_mRNA	YLL022C	HIF1	850638
YDR441C	YDR441C_mRNA	YDR441C	APT2	852051
YPR002C-A	YPR002C-A_mRNA	YPR002C-A		
YOR299W	YOR299W_mRNA	YOR299W	BUD7	854475
YLR047C	YLR047C_mRNA	YLR047C	FRE8	850736
YMR082C	YMR082C_mRNA	YMR082C		
YEL023C	YEL023C_mRNA	YEL023C		856690
YDR411C	YDR411C_mRNA	YDR411C	DFM1	852020
YKL025C	YKL025C_mRNA	YKL025C	PAN3	853843
YLR225C	YLR225C_mRNA	YLR225C		850922
