Gene stable ID	RefSeq peptide ID
ENSDARG00000039351	NP_001289630
ENSDARG00000005010	
ENSDARG00000068303	
ENSDARG00000004372	
ENSDARG00000058470	
ENSDARG00000099216	
ENSDARG00000053480	NP_001171215
ENSDARG00000068893	
ENSDARG00000096990	
ENSDARG00000042063	
ENSDARG00000100296	NP_001098586
ENSDARG00000068303	NP_001307362
ENSDARG00000069817	
ENSDARG00000036546	NP_001139058
ENSDARG00000101145	
ENSDARG00000100747	
ENSDARG00000062752	NP_001314980
ENSDARG00000105532	
ENSDARG00000090697	NP_957133
ENSDARG00000094646	NP_001038298
ENSDARG00000041830	NP_001020623
ENSDARG00000105782	
ENSDARG00000021336	NP_001232009
ENSDARG00000016674	
ENSDARG00000028804	NP_001007295
ENSDARG00000025285	NP_957210
ENSDARG00000044091	
ENSDARG00000037861	
ENSDARG00000038235	
ENSDARG00000011410	
ENSDARG00000094646	
ENSDARG00000018006	NP_998550
ENSDARG00000096623	
ENSDARG00000068893	NP_001005949
ENSDARG00000071558	NP_001070771
ENSDARG00000028912	
ENSDARG00000116164	NP_001002581
ENSDARG00000116164	NP_001096114
ENSDARG00000097635	
ENSDARG00000031600	NP_001074100
ENSDARG00000093805	
ENSDARG00000068365	NP_001020338
ENSDARG00000055874	NP_999975
ENSDARG00000032098	NP_957157
ENSDARG00000022350	
ENSDARG00000059235	
ENSDARG00000057107	
ENSDARG00000071460	
ENSDARG00000068365	
ENSDARG00000011801	NP_001013341
ENSDARG00000093569	
ENSDARG00000116164	
ENSDARG00000100944	NP_001002404
ENSDARG00000075629	
ENSDARG00000059235	NP_001018331
ENSDARG00000004372	NP_001333083
ENSDARG00000058379	NP_571175
ENSDARG00000100944	
ENSDARG00000063158	
ENSDARG00000062427	
ENSDARG00000044034	NP_001013530
ENSDARG00000071456	NP_001096097
ENSDARG00000040258	
ENSDARG00000058379	
ENSDARG00000059781	
ENSDARG00000054319	NP_001070618
ENSDARG00000037246	
ENSDARG00000014101	
ENSDARG00000071456	
ENSDARG00000102643	
ENSDARG00000054570	
ENSDARG00000014101	NP_001243145
ENSDARG00000037246	NP_001120941
ENSDARG00000102643	NP_956857
ENSDARG00000002467	NP_001040655
ENSDARG00000054570	NP_001073513
ENSDARG00000062427	NP_001315638
ENSDARG00000018004	NP_571496
ENSDARG00000086620	
ENSDARG00000025949	
ENSDARG00000060788	NP_001038578
ENSDARG00000015876	
ENSDARG00000060564	NP_001070100
ENSDARG00000103643	
ENSDARG00000038955	
ENSDARG00000015876	NP_001315312
ENSDARG00000053101	
ENSDARG00000104307	
ENSDARG00000021595	NP_001003444
ENSDARG00000069619	NP_001071071
ENSDARG00000018817	NP_001295577
ENSDARG00000075826	
ENSDARG00000018817	
ENSDARG00000063690	NP_001038660
ENSDARG00000062096	NP_001070769
ENSDARG00000103643	NP_001017671
ENSDARG00000104307	NP_571611
ENSDARG00000063631	
ENSDARG00000043485	NP_001018615
ENSDARG00000099900	NP_001264527
ENSDARG00000096153	
ENSDARG00000078500	NP_001092207
ENSDARG00000099900	
ENSDARG00000045983	
ENSDARG00000045565	NP_001019568
ENSDARG00000101561	NP_001013533
ENSDARG00000077037	NP_001092700
ENSDARG00000019304	NP_001018373
ENSDARG00000018817	NP_571670
ENSDARG00000043485	
ENSDARG00000007916	NP_996962
ENSDARG00000045983	NP_001103494
ENSDARG00000053101	NP_998654
ENSDARG00000009922	NP_694509
ENSDARG00000019438	
ENSDARG00000076334	NP_001002428
ENSDARG00000052330	
ENSDARG00000077037	
ENSDARG00000061560	NP_001189470
ENSDARG00000069619	
ENSDARG00000019438	NP_957338
ENSDARG00000043004	
ENSDARG00000018817	NP_001295578
ENSDARG00000061560	
ENSDARG00000021195	
ENSDARG00000093272	
ENSDARG00000009208	NP_999873
ENSDARG00000071251	
ENSDARG00000027310	
ENSDARG00000074869	
ENSDARG00000003090	NP_982294
ENSDARG00000100087	NP_571324
ENSDARG00000012140	NP_956034
ENSDARG00000009922	NP_835457
ENSDARG00000091609	NP_001314828
ENSDARG00000071017	NP_957226
ENSDARG00000003090	
ENSDARG00000009922	
ENSDARG00000092218	NP_001121851
ENSDARG00000008697	
ENSDARG00000098868	
ENSDARG00000052703	NP_956677
ENSDARG00000104413	NP_956257
ENSDARG00000015292	NP_956157
ENSDARG00000090949	
ENSDARG00000100087	
ENSDARG00000052703	
ENSDARG00000012944	
ENSDARG00000045562	NP_001008603
ENSDARG00000077567	
ENSDARG00000097224	
ENSDARG00000041080	NP_001014316
ENSDARG00000078859	NP_001122215
ENSDARG00000103589	NP_571632
ENSDARG00000045308	
ENSDARG00000012944	NP_694514
ENSDARG00000045562	
ENSDARG00000018281	NP_001017774
ENSDARG00000087659	
ENSDARG00000043004	NP_001076347
ENSDARG00000052330	NP_001107912
ENSDARG00000087659	NP_001038472
ENSDARG00000103589	
ENSDARG00000005078	
ENSDARG00000019969	
ENSDARG00000100256	
ENSDARG00000104815	
ENSDARG00000103589	NP_001313293
ENSDARG00000105013	
ENSDARG00000102555	
ENSDARG00000074869	NP_001314735
ENSDARG00000053200	NP_001103928
ENSDARG00000105176	NP_001116317
ENSDARG00000017107	NP_001003608
ENSDARG00000036065	NP_001073440
ENSDARG00000036456	NP_861429
ENSDARG00000036065	
ENSDARG00000073743	NP_001035060
ENSDARG00000045308	NP_001292393
ENSDARG00000055889	NP_001071207
ENSDARG00000095200	
ENSDARG00000074869	NP_001314734
ENSDARG00000036456	
ENSDARG00000005078	NP_001004589
ENSDARG00000074869	NP_001314733
ENSDARG00000054170	NP_001295899
ENSDARG00000105013	NP_571607
ENSDARG00000019969	NP_001120778
ENSDARG00000104181	
ENSDARG00000090557	
ENSDARG00000102846	NP_001014331
ENSDARG00000067848	NP_001314713
ENSDARG00000021033	NP_956482
ENSDARG00000004840	
ENSDARG00000061348	NP_001076356
ENSDARG00000055889	
ENSDARG00000090557	NP_001315007
ENSDARG00000021033	
ENSDARG00000030537	NP_956327
ENSDARG00000030803	NP_001018388
ENSDARG00000036136	NP_001003452
ENSDARG00000105455	
ENSDARG00000075517	
ENSDARG00000070567	
ENSDARG00000001785	
ENSDARG00000075517	NP_001313499
ENSDARG00000004726	NP_955920
ENSDARG00000036136	
ENSDARG00000099365	
ENSDARG00000044809	
ENSDARG00000104815	NP_001020339
ENSDARG00000060068	NP_001073130
ENSDARG00000030803	
ENSDARG00000002732	
ENSDARG00000104181	NP_001159390
ENSDARG00000096463	
ENSDARG00000044809	NP_998602
ENSDARG00000100358	
ENSDARG00000104815	NP_001349521
ENSDARG00000074034	NP_001153137
ENSDARG00000037528	NP_001164504
ENSDARG00000004840	NP_001004550
ENSDARG00000063145	NP_001070857
ENSDARG00000095068	
ENSDARG00000037528	
ENSDARG00000102062	
ENSDARG00000067848	NP_001004618
ENSDARG00000030537	
ENSDARG00000060771	
ENSDARG00000067848	
ENSDARG00000078169	
ENSDARG00000002732	NP_571083
ENSDARG00000036816	
ENSDARG00000078169	NP_001082889
ENSDARG00000101445	
ENSDARG00000041449	NP_998397
ENSDARG00000090116	
ENSDARG00000030012	
ENSDARG00000022648	NP_998087
ENSDARG00000058673	
ENSDARG00000078280	
ENSDARG00000041449	
ENSDARG00000093100	
ENSDARG00000068731	
ENSDARG00000037528	NP_001038666
ENSDARG00000037528	NP_001264053
ENSDARG00000009612	
ENSDARG00000025340	NP_001002402
ENSDARG00000001785	NP_957351
ENSDARG00000071465	NP_001017760
ENSDARG00000020771	NP_919364
ENSDARG00000095149	
ENSDARG00000078127	
ENSDARG00000008278	
ENSDARG00000025340	
ENSDARG00000056801	
ENSDARG00000101445	NP_957171
ENSDARG00000058673	NP_001298723
ENSDARG00000020771	
ENSDARG00000071465	
ENSDARG00000008790	
ENSDARG00000052388	
ENSDARG00000086613	
ENSDARG00000008790	NP_001083025
ENSDARG00000001776	
ENSDARG00000058673	NP_001298721
ENSDARG00000098153	NP_001017562
ENSDARG00000112103	
ENSDARG00000087301	NP_001095864
ENSDARG00000098153	
ENSDARG00000019457	
ENSDARG00000095654	
ENSDARG00000019457	NP_001038531
ENSDARG00000094889	NP_001165062
ENSDARG00000102464	NP_001349202
ENSDARG00000103862	
ENSDARG00000100508	NP_001098410
ENSDARG00000034165	
ENSDARG00000070497	
ENSDARG00000087301	
ENSDARG00000069715	NP_944598
ENSDARG00000102464	NP_571012
ENSDARG00000016375	NP_957457
ENSDARG00000052388	NP_001038700
ENSDARG00000035161	
ENSDARG00000100508	
ENSDARG00000091252	
ENSDARG00000014898	NP_775356
ENSDARG00000103862	NP_571610
ENSDARG00000028213	
ENSDARG00000093656	NP_001121755
ENSDARG00000076790	NP_001096604
ENSDARG00000062350	NP_001038340
ENSDARG00000045801	NP_001015043
ENSDARG00000035161	NP_001155070
ENSDARG00000111761	
ENSDARG00000037018	NP_001313642
ENSDARG00000093656	NP_001124126
ENSDARG00000092714	NP_001116711
ENSDARG00000062874	
ENSDARG00000014239	
ENSDARG00000092327	
ENSDARG00000037018	
ENSDARG00000090764	NP_956916
ENSDARG00000046002	NP_001230093
ENSDARG00000009612	NP_998378
ENSDARG00000090764	
ENSDARG00000069415	NP_001139037
ENSDARG00000036545	
ENSDARG00000073718	
ENSDARG00000096720	
ENSDARG00000103862	NP_571609
ENSDARG00000062749	NP_001070726
ENSDARG00000004517	NP_001076346
ENSDARG00000086158	
ENSDARG00000058365	
ENSDARG00000035820	NP_001012636
ENSDARG00000029533	NP_001003432
ENSDARG00000004517	
ENSDARG00000104074	
ENSDARG00000029533	
ENSDARG00000096738	
ENSDARG00000035820	
ENSDARG00000086158	NP_001157395
ENSDARG00000019492	NP_001007152
ENSDARG00000008278	NP_991201
ENSDARG00000014311	NP_001071193
ENSDARG00000095283	NP_001121754
ENSDARG00000009738	
ENSDARG00000004789	
ENSDARG00000005150	NP_571581
ENSDARG00000019362	NP_001018313
ENSDARG00000058365	NP_001094427
ENSDARG00000018494	NP_571266
ENSDARG00000095283	
ENSDARG00000020134	NP_001268721
ENSDARG00000046002	
ENSDARG00000003952	NP_958493
ENSDARG00000069423	NP_001164119
ENSDARG00000009738	NP_001106991
ENSDARG00000041708	NP_001002699
ENSDARG00000093852	
ENSDARG00000093672	
ENSDARG00000005185	NP_997935
ENSDARG00000002332	
ENSDARG00000097909	
ENSDARG00000009870	
ENSDARG00000095497	
ENSDARG00000003952	
ENSDARG00000018494	
ENSDARG00000020134	
ENSDARG00000076752	
ENSDARG00000041708	NP_001158284
ENSDARG00000075468	
ENSDARG00000069423	NP_001164118
ENSDARG00000058345	
ENSDARG00000092255	
ENSDARG00000002332	NP_001018652
ENSDARG00000005840	NP_956283
ENSDARG00000090145	
ENSDARG00000102501	NP_571615
ENSDARG00000035819	NP_001073643
ENSDARG00000009870	NP_571796
ENSDARG00000051953	NP_001007411
ENSDARG00000086553	
ENSDARG00000100312	NP_001078963
ENSDARG00000044532	NP_001002406
ENSDARG00000063213	NP_001082793
ENSDARG00000069808	
ENSDARG00000035819	
ENSDARG00000100560	NP_001034613
ENSDARG00000052994	NP_998284
ENSDARG00000058345	NP_001188497
ENSDARG00000044532	
ENSDARG00000011146	
ENSDARG00000043806	
ENSDARG00000015623	
ENSDARG00000028982	
ENSDARG00000104162	
ENSDARG00000037491	NP_001018320
ENSDARG00000102559	
ENSDARG00000100560	
ENSDARG00000056801	NP_958466
ENSDARG00000104162	NP_571619
ENSDARG00000096728	
ENSDARG00000100679	
ENSDARG00000037491	
ENSDARG00000008748	NP_998651
ENSDARG00000032496	NP_001004542
ENSDARG00000101032	NP_001008622
ENSDARG00000094171	
ENSDARG00000071741	
ENSDARG00000058647	
ENSDARG00000037266	NP_957148
ENSDARG00000076972	NP_001108049
ENSDARG00000017143	NP_956569
ENSDARG00000011146	NP_001019613
ENSDARG00000071741	NP_001018649
ENSDARG00000101032	
ENSDARG00000017143	
ENSDARG00000060835	
ENSDARG00000096670	
ENSDARG00000090338	
ENSDARG00000103046	NP_001340795
ENSDARG00000042677	NP_001107024
ENSDARG00000060835	NP_001038644
ENSDARG00000103066	
ENSDARG00000099982	
ENSDARG00000062262	NP_001297024
ENSDARG00000031435	NP_956317
ENSDARG00000038858	NP_001002456
ENSDARG00000025757	NP_956702
ENSDARG00000069388	NP_001070612
ENSDARG00000058803	NP_001029353
ENSDARG00000037266	
ENSDARG00000077596	
ENSDARG00000105089	
ENSDARG00000068262	NP_001243535
ENSDARG00000088625	
ENSDARG00000068551	NP_001070061
ENSDARG00000078060	NP_001232886
ENSDARG00000079687	
ENSDARG00000061697	
ENSDARG00000061697	NP_001315073
ENSDARG00000007086	NP_001002349
ENSDARG00000111332	
ENSDARG00000062794	
ENSDARG00000055876	NP_998518
ENSDARG00000016923	
ENSDARG00000068262	NP_001243536
ENSDARG00000069980	
ENSDARG00000062082	
ENSDARG00000037570	NP_001003888
ENSDARG00000004306	NP_956124
ENSDARG00000062082	NP_001073628
ENSDARG00000074708	
ENSDARG00000078060	
ENSDARG00000022623	NP_001008577
ENSDARG00000100429	
ENSDARG00000030694	NP_775361
ENSDARG00000022623	
ENSDARG00000020953	
ENSDARG00000035074	NP_001013328
ENSDARG00000094330	
ENSDARG00000003207	NP_001002615
ENSDARG00000027595	NP_840077
ENSDARG00000062794	NP_998693
ENSDARG00000044144	
ENSDARG00000070867	NP_571571
ENSDARG00000043211	
ENSDARG00000116558	
ENSDARG00000015059	
ENSDARG00000053446	NP_001268926
ENSDARG00000003207	
ENSDARG00000032206	NP_001005400
ENSDARG00000043211	NP_998243
ENSDARG00000075958	NP_001121840
ENSDARG00000056907	
ENSDARG00000094752	NP_001082902
ENSDARG00000062329	
ENSDARG00000075169	NP_001091721
ENSDARG00000020953	NP_956599
ENSDARG00000102459	NP_001103413
ENSDARG00000028982	NP_001002746
ENSDARG00000053446	NP_001018376
ENSDARG00000053446	NP_001268927
ENSDARG00000060439	NP_001306200
ENSDARG00000094752	
ENSDARG00000058984	NP_001032776
ENSDARG00000008119	
ENSDARG00000103220	
ENSDARG00000053446	
ENSDARG00000091619	NP_001070074
ENSDARG00000057007	NP_571789
ENSDARG00000103220	NP_999905
ENSDARG00000015765	NP_001020640
ENSDARG00000008363	NP_919375
ENSDARG00000076218	
ENSDARG00000045014	NP_998195
ENSDARG00000057007	
ENSDARG00000091619	
ENSDARG00000008119	NP_001025315
ENSDARG00000008363	
ENSDARG00000099155	NP_956713
ENSDARG00000033201	
ENSDARG00000078259	
ENSDARG00000086990	
ENSDARG00000061784	NP_001119876
ENSDARG00000012196	
ENSDARG00000053468	
ENSDARG00000115374	
ENSDARG00000092525	
ENSDARG00000099617	NP_001070046
ENSDARG00000026499	NP_001018354
ENSDARG00000041092	
ENSDARG00000079687	NP_001116727
ENSDARG00000031915	NP_958904
ENSDARG00000102632	NP_001071272
ENSDARG00000097416	
ENSDARG00000025043	
ENSDARG00000018459	NP_998086
ENSDARG00000053468	NP_001152786
ENSDARG00000035718	NP_001314678
ENSDARG00000018459	
ENSDARG00000078797	
ENSDARG00000012184	
ENSDARG00000055502	
ENSDARG00000056549	NP_957201
ENSDARG00000037506	NP_001070036
ENSDARG00000012184	NP_001091664
ENSDARG00000033201	NP_001005968
ENSDARG00000075732	
ENSDARG00000098347	
ENSDARG00000031890	NP_001014323
ENSDARG00000006983	
ENSDARG00000062309	
ENSDARG00000016936	NP_001177233
ENSDARG00000078763	
ENSDARG00000016676	NP_957081
ENSDARG00000016936	
ENSDARG00000086990	NP_001304694
ENSDARG00000070844	NP_001099065
ENSDARG00000053476	NP_957316
ENSDARG00000036956	
ENSDARG00000017809	
ENSDARG00000076360	
ENSDARG00000054400	NP_001107124
ENSDARG00000003607	NP_991120
ENSDARG00000093855	
ENSDARG00000061486	
ENSDARG00000003607	
ENSDARG00000022203	
ENSDARG00000016676	
ENSDARG00000057677	NP_001018384
ENSDARG00000057767	NP_001296990
ENSDARG00000033614	NP_956123
ENSDARG00000033539	
ENSDARG00000057677	
ENSDARG00000073874	NP_001002138
ENSDARG00000008133	NP_957278
